ativo,preco,moeda,horario_coleta
BTC,118118.635,USD,2025-08-14 19:14:56.602789
GC=F,3383.0,USD,2025-08-14 19:14:58.269497
CL=F,63.880001068115234,USD,2025-08-14 19:14:58.805568
SI=F,38.029998779296875,USD,2025-08-14 19:14:59.110368
BTC,118134.355,USD,2025-08-14 19:15:59.579631
GC=F,3383.0,USD,2025-08-14 19:15:59.905455
CL=F,63.869998931884766,USD,2025-08-14 19:16:00.150921
SI=F,38.04499816894531,USD,2025-08-14 19:16:00.473223
BTC,118162.275,USD,2025-08-14 19:17:00.708395
GC=F,3382.5,USD,2025-08-14 19:17:00.986464
CL=F,63.88999938964844,USD,2025-08-14 19:17:01.276043
SI=F,38.04499816894531,USD,2025-08-14 19:17:01.551338
BTC,118150.99,USD,2025-08-14 19:18:01.796240
GC=F,3382.699951171875,USD,2025-08-14 19:18:02.153934
CL=F,63.88999938964844,USD,2025-08-14 19:18:02.503398
SI=F,38.04499816894531,USD,2025-08-14 19:18:03.029142
BTC,118100.795,USD,2025-08-14 19:19:03.490348
GC=F,3382.60009765625,USD,2025-08-14 19:19:03.843657
CL=F,63.880001068115234,USD,2025-08-14 19:19:04.083300
SI=F,38.03499984741211,USD,2025-08-14 19:19:04.621349
BTC,118141.185,USD,2025-08-14 19:20:05.038562
GC=F,3383.0,USD,2025-08-14 19:20:05.388314
CL=F,63.869998931884766,USD,2025-08-14 19:20:05.664555
SI=F,38.040000915527344,USD,2025-08-14 19:20:06.007653
BTC,118242.595,USD,2025-08-14 19:21:06.370828
GC=F,3382.60009765625,USD,2025-08-14 19:21:06.715280
CL=F,63.880001068115234,USD,2025-08-14 19:21:07.032885
SI=F,38.04499816894531,USD,2025-08-14 19:21:07.341498
BTC,118207.865,USD,2025-08-14 19:22:08.016195
GC=F,3382.89990234375,USD,2025-08-14 19:22:08.363531
CL=F,63.88999938964844,USD,2025-08-14 19:22:08.658105
SI=F,38.04499816894531,USD,2025-08-14 19:22:08.986489
BTC,118226.915,USD,2025-08-14 19:23:09.476874
GC=F,3383.0,USD,2025-08-14 19:23:10.242770
CL=F,63.880001068115234,USD,2025-08-14 19:23:10.531118
